Ticker,SICCD,DlyCalDt,DlyCap,DlyRet,DlyClose,sprtrn
JNJ,2834,2015-03-16,280996218.34,0.018647,101.0600,0.013534
JNJ,2834,2015-03-17,277743046.21,-0.011577,99.8900,-0.003320
JNJ,2834,2015-03-18,282108413.94,0.015717,101.4600,0.012158
JNJ,2834,2015-03-19,282747926.41,0.002267,101.6900,-0.004873
JNJ,2834,2015-03-20,284722073.60,0.006982,102.4000,0.009013
JNJ,2834,2015-03-23,286334757.22,0.005664,102.9800,-0.001746
JNJ,2834,2015-03-24,283498658.44,-0.009905,101.9600,-0.006139
JNJ,2834,2015-03-25,278994266.26,-0.015889,100.3400,-0.014559
JNJ,2834,2015-03-26,278438168.46,-0.001993,100.1400,-0.002377
JNJ,2834,2015-03-27,278994266.26,0.001997,100.3400,0.002369
JNJ,2834,2015-03-30,282358657.95,0.012059,101.5500,0.012237
JNJ,2834,2015-03-31,279724336.00,-0.009355,100.6000,-0.008796
JNJ,2834,2015-04-01,275692524.00,-0.014414,99.1500,-0.003965
JNJ,2834,2015-04-02,277054998.40,0.004942,99.6400,0.003530
JNJ,2834,2015-04-06,275720329.60,-0.004817,99.1600,0.006609
JNJ,2834,2015-04-07,278334056.00,0.009480,100.1000,-0.002062
JNJ,2834,2015-04-08,278500889.60,0.000599,100.1600,0.002683
JNJ,2834,2015-04-09,281754144.80,0.011681,101.3300,0.004457
JNJ,2834,2015-04-10,283783953.60,0.007204,102.0600,0.005203
JNJ,2834,2015-04-13,279585308.00,-0.014795,100.5500,-0.004581
JNJ,2834,2015-04-14,279501891.20,-0.000298,100.5200,0.001630
JNJ,2834,2015-04-15,279724336.00,0.000796,100.6000,0.005148
JNJ,2834,2015-04-16,277472082.40,-0.008052,99.7900,-0.000778
JNJ,2834,2015-04-17,276888164.80,-0.002104,99.5800,-0.011311
JNJ,2834,2015-04-20,278639917.60,0.006327,100.2100,0.009235
JNJ,2834,2015-04-21,278890168.00,0.000898,100.3000,-0.001481
JNJ,2834,2015-04-22,279251640.80,0.001296,100.4300,0.005088
JNJ,2834,2015-04-23,279335057.60,0.000299,100.4600,0.002358
JNJ,2834,2015-04-24,281059004.80,0.006172,101.0800,0.002253
JNJ,2834,2015-04-27,279668724.80,-0.004947,100.5800,-0.004141
JNJ,2834,2015-04-28,280113614.40,0.001591,100.7400,0.002769
JNJ,2834,2015-04-29,279140418.40,-0.003474,100.3900,-0.003740
JNJ,2834,2015-04-30,275831552.00,-0.011854,99.2000,-0.010129
JNJ,2834,2015-05-01,278417472.80,0.009375,100.1300,0.010923
JNJ,2834,2015-05-04,279029196.00,0.002197,100.3500,0.002941
JNJ,2834,2015-05-05,276665720.00,-0.008470,99.5000,-0.011837
JNJ,2834,2015-05-06,275748135.20,-0.003317,99.1700,-0.004456
JNJ,2834,2015-05-07,277110609.60,0.004941,99.6600,0.003774
JNJ,2834,2015-05-08,282143423.20,0.018162,101.4700,0.013458
JNJ,2834,2015-05-11,280919976.80,-0.004336,101.0300,-0.005090
JNJ,2834,2015-05-12,279362863.20,-0.005543,100.4700,-0.002950
JNJ,2834,2015-05-13,279585308.00,0.000796,100.5500,-0.000305
JNJ,2834,2015-05-14,283144424.80,0.012730,101.8300,0.010779
JNJ,2834,2015-05-15,284451288.00,0.004616,102.3000,0.000768
JNJ,2834,2015-05-18,287565515.20,0.010948,103.4200,0.003048
JNJ,2834,2015-05-19,289067017.60,0.005221,103.9600,-0.000643
JNJ,2834,2015-05-20,288066016.00,-0.003463,103.6000,-0.000931
JNJ,2834,2015-05-21,284784955.20,-0.004151,102.4200,0.002338
JNJ,2834,2015-05-22,281809756.00,-0.010447,101.3500,-0.002234
JNJ,2834,2015-05-26,280336059.20,-0.005229,100.8200,-0.010282
